"ANO";"TIPO_ABOVIROSE";"SUPERINTENDENCIA";"ADS";"MUNICÍPIO";"DATA_EPIDEMIOLOGICA";"SEMANA_EPIDEMIOLOGICA";"DENGUE_GRAVE";"CURA";"OBITO";"OBITO_INVESTIGACAO";"CONFIRMADO_AMBULATORIAL";"CONFIRMADO_CLINICO"
"2022";"Dengue";"FORTALEZA";"06ª REGIÃO DE ITAPIPOCA";"AMONTADA";"2022-02-05";"5";"0";"1";"0";"0";"0";"0"
"2022";"Dengue";"SERTÃO CENTRAL";"08ª REGIÃO QUIXADÁ";"QUIXERAMOBIM";"2022-08-13";"32";"0";"2";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"20ª REGIÃO CRATO";"TARRAFAS";"2022-04-30";"17";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"01ª REGIÃO FORTALEZA";"ITAITINGA";"2022-04-02";"13";"0";"2";"0";"0";"1";"0"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"MASSAPE";"2022-05-28";"21";"0";"3";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"20ª REGIÃO CRATO";"VARZEA ALEGRE";"2022-07-30";"30";"0";"3";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"16ª REGIÃO CAMOCIM";"MARTINOPOLE";"2022-07-23";"29";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"LITORAL LESTE/JAGUARIBE";"10ª REGIÃO LIMOEIRO DO NORTE";"TABULEIRO DO NORTE";"2022-09-03";"35";"0";"37";"0";"0";"18";"14"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"ITAPAJE";"2022-08-06";"31";"0";"1";"0";"0";"0";"1"
"2022";"Dengue";"FORTALEZA";"04ª REGIÃO BATURITÉ";"MULUNGU";"2022-10-22";"42";"0";"2";"0";"0";"1";"1"
"2022";"Dengue";"CARIRI";"18ª REGIÃO IGUATU";"CATARINA";"2022-10-22";"42";"0";"2";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"ALCANTARAS";"2022-07-16";"28";"0";"2";"0";"0";"1";"0"
"2022";"Dengue";"CARIRI";"20ª REGIÃO CRATO";"SALITRE";"2022-02-26";"8";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"17ª REGIÃO ICÓ";"UMARI";"2022-05-21";"20";"0";"9";"0";"0";"1";"1"
"2022";"Dengue";"CARIRI";"18ª REGIÃO IGUATU";"DEPUTADO IRAPUAN PINHEIRO";"2022-10-22";"42";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"SERTÃO CENTRAL";"14ª REGIÃO TAUÁ";"TAUA";"2022-11-05";"44";"0";"12";"0";"0";"1";"0"
"2022";"Dengue";"CARIRI";"21ª REGIÃO JUAZEIRO DO NORTE";"JUAZEIRO DO NORTE";"2022-03-05";"9";"0";"552";"0";"0";"6";"57"
"2022";"Dengue";"FORTALEZA";"03ª REGIÃO MARACANAÚ";"MARACANAU";"2022-06-04";"22";"0";"140";"0";"0";"2";"88"
"2022";"Dengue";"FORTALEZA";"03ª REGIÃO MARACANAÚ";"ACARAPE";"2022-08-20";"33";"0";"0";"0";"0";"0";"0"
